Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1911.111,5.93E-06,-2.32E-05,-2.75E-05,-1.14E-05,-6.32E-05,-2.18E-05,-2.30E-06,-3.90E-05,-2.11E-05,2.53E-06,2.39E-05,2.24E-06,2.63E-05,3.24E-05,3.86E-05,1.64E-05
1911.593,4.92E-06,-2.64E-05,-2.63E-05,-9.42E-06,-6.49E-05,-2.95E-05,-1.31E-05,-4.06E-05,-3.36E-05,-3.84E-06,1.52E-05,-1.18E-05,1.07E-05,2.02E-05,3.59E-05,7.11E-06
1912.075,1.62E-06,-2.83E-05,-2.52E-05,-6.71E-06,-6.91E-05,-4.10E-05,-3.12E-05,-5.01E-05,-5.32E-05,-1.65E-05,-7.09E-07,-3.42E-05,-1.52E-05,-2.63E-06,2.47E-05,-1.43E-05
1912.557,-3.30E-06,-2.82E-05,-2.35E-05,-1.54E-06,-7.20E-05,-4.93E-05,-4.76E-05,-5.88E-05,-7.01E-05,-2.59E-05,-1.35E-05,-5.31E-05,-3.88E-05,-2.34E-05,1.56E-05,-3.59E-05
1913.04,-8.71E-06,-2.53E-05,-2.01E-05,7.48E-06,-7.06E-05,-4.84E-05,-5.34E-05,-5.86E-05,-7.51E-05,-2.34E-05,-1.35E-05,-5.83E-05,-4.82E-05,-3.02E-05,1.86E-05,-4.59E-05
1913.521,-1.33E-05,-1.92E-05,-1.47E-05,2.07E-05,-6.38E-05,-3.64E-05,-4.47E-05,-4.62E-05,-6.52E-05,-6.21E-06,2.63E-06,-4.55E-05,-3.80E-05,-1.80E-05,3.78E-05,-3.89E-05
1914.004,-1.56E-05,-1.04E-05,-7.48E-06,3.67E-05,-5.34E-05,-1.64E-05,-2.41E-05,-2.53E-05,-4.45E-05,2.13E-05,3.03E-05,-1.97E-05,-1.21E-05,9.20E-06,6.83E-05,-1.85E-05
1914.486,-1.51E-05,8.05E-08,5.99E-07,5.27E-05,-4.30E-05,4.89E-06,4.27E-07,-4.41E-06,-2.21E-05,4.92E-05,5.90E-05,8.63E-06,1.89E-05,4.07E-05,1.00E-04,5.54E-06
1914.968,-1.16E-05,1.06E-05,8.45E-06,6.59E-05,-3.60E-05,2.08E-05,2.06E-05,8.37E-06,-7.66E-06,6.85E-05,7.88E-05,2.88E-05,4.37E-05,6.52E-05,1.23E-04,2.28E-05
1915.45,-5.66E-06,1.93E-05,1.46E-05,7.38E-05,-3.40E-05,2.80E-05,3.12E-05,9.01E-06,-5.06E-06,7.47E-05,8.40E-05,3.56E-05,5.64E-05,7.65E-05,1.31E-04,2.85E-05
1915.932,1.42E-06,2.45E-05,1.83E-05,7.56E-05,-3.57E-05,2.76E-05,3.29E-05,2.34E-07,-1.17E-05,7.08E-05,7.75E-05,3.17E-05,5.83E-05,7.65E-05,1.29E-04,2.50E-05
1916.414,8.00E-06,2.54E-05,1.93E-05,7.16E-05,-3.83E-05,2.43E-05,3.07E-05,-1.03E-05,-1.96E-05,6.45E-05,6.73E-05,2.56E-05,5.73E-05,7.31E-05,1.24E-04,2.07E-05
1916.896,1.32E-05,2.25E-05,1.77E-05,6.38E-05,-3.85E-05,2.33E-05,3.09E-05,-1.45E-05,-2.06E-05,6.36E-05,6.21E-05,2.59E-05,6.18E-05,7.50E-05,1.25E-04,2.42E-05
1917.378,1.63E-05,1.70E-05,1.47E-05,5.41E-05,-3.51E-05,2.71E-05,3.58E-05,-8.63E-06,-1.20E-05,7.05E-05,6.59E-05,3.58E-05,7.48E-05,8.57E-05,1.35E-04,3.80E-05
1917.861,1.74E-05,1.11E-05,1.11E-05,4.41E-05,-2.95E-05,3.38E-05,4.31E-05,4.62E-06,1.92E-06,8.06E-05,7.51E-05,5.06E-05,9.17E-05,1.01E-04,1.49E-04,5.72E-05
1918.343,1.76E-05,7.03E-06,7.89E-06,3.50E-05,-2.40E-05,3.92E-05,4.72E-05,1.77E-05,1.27E-05,8.49E-05,8.13E-05,6.08E-05,1.03E-04,1.11E-04,1.56E-04,7.17E-05
1918.825,1.75E-05,5.80E-06,5.59E-06,2.76E-05,-2.13E-05,3.94E-05,4.34E-05,2.41E-05,1.30E-05,7.65E-05,7.72E-05,5.84E-05,1.01E-04,1.10E-04,1.49E-04,7.34E-05
1919.307,1.75E-05,7.76E-06,4.18E-06,2.21E-05,-2.14E-05,3.37E-05,3.10E-05,2.08E-05,9.74E-07,5.45E-05,6.11E-05,4.18E-05,8.38E-05,9.42E-05,1.28E-04,6.06E-05
1919.789,1.79E-05,1.19E-05,3.64E-06,1.93E-05,-2.22E-05,2.52E-05,1.50E-05,1.18E-05,-1.73E-05,2.60E-05,3.86E-05,1.74E-05,5.82E-05,7.22E-05,9.88E-05,4.03E-05
1920.271,1.76E-05,1.65E-05,3.72E-06,1.94E-05,-2.11E-05,1.87E-05,2.75E-06,3.69E-06,-3.27E-05,1.64E-06,1.92E-05,-4.43E-06,3.46E-05,5.44E-05,7.45E-05,2.33E-05
1920.753,1.57E-05,2.01E-05,4.31E-06,2.27E-05,-1.62E-05,1.85E-05,5.90E-07,2.76E-06,-3.66E-05,-9.05E-06,1.12E-05,-1.44E-05,2.27E-05,5.02E-05,6.49E-05,1.89E-05
1921.235,1.15E-05,2.16E-05,5.32E-06,2.83E-05,-7.84E-06,2.48E-05,9.84E-06,1.03E-05,-2.69E-05,-3.41E-06,1.67E-05,-1.01E-05,2.48E-05,6.14E-05,7.22E-05,2.91E-05
1921.718,4.74E-06,2.08E-05,6.90E-06,3.50E-05,5.79E-07,3.36E-05,2.54E-05,2.18E-05,-8.65E-06,1.30E-05,2.98E-05,2.73E-06,3.52E-05,8.12E-05,8.95E-05,4.71E-05
1922.2,-4.03E-06,1.83E-05,8.88E-06,4.10E-05,4.84E-06,3.88E-05,3.84E-05,2.92E-05,7.89E-06,2.94E-05,4.02E-05,1.35E-05,4.26E-05,9.72E-05,1.04E-04,6.11E-05
1922.682,-1.36E-05,1.46E-05,1.10E-05,4.49E-05,1.32E-06,3.54E-05,4.13E-05,2.59E-05,1.41E-05,3.60E-05,3.91E-05,1.29E-05,3.73E-05,9.86E-05,1.04E-04,6.04E-05
1923.164,-2.25E-05,1.08E-05,1.30E-05,4.63E-05,-9.74E-06,2.29E-05,3.16E-05,1.11E-05,7.60E-06,2.95E-05,2.45E-05,-5.98E-07,1.73E-05,8.25E-05,8.80E-05,4.31E-05
1923.646,-2.92E-05,7.64E-06,1.45E-05,4.56E-05,-2.50E-05,5.50E-06,1.36E-05,-9.21E-06,-6.17E-06,1.46E-05,2.59E-06,-2.03E-05,-1.08E-05,5.56E-05,6.10E-05,1.62E-05
1924.128,-3.33E-05,4.99E-06,1.47E-05,4.36E-05,-3.95E-05,-1.03E-05,-4.53E-06,-2.60E-05,-1.74E-05,9.80E-07,-1.59E-05,-3.51E-05,-3.52E-05,3.03E-05,3.59E-05,-8.04E-06
1924.61,-3.45E-05,2.80E-06,1.37E-05,4.12E-05,-4.86E-05,-1.92E-05,-1.52E-05,-3.21E-05,-1.75E-05,-2.92E-06,-2.18E-05,-3.54E-05,-4.55E-05,1.77E-05,2.37E-05,-1.88E-05
1925.092,-3.39E-05,6.39E-07,1.13E-05,3.82E-05,-5.10E-05,-1.99E-05,-1.56E-05,-2.60E-05,-4.49E-06,5.35E-06,-1.26E-05,-1.95E-05,-3.87E-05,2.23E-05,2.84E-05,-1.31E-05
1925.574,-3.24E-05,-1.78E-06,7.66E-06,3.41E-05,-4.85E-05,-1.57E-05,-8.83E-06,-1.34E-05,1.64E-05,2.08E-05,5.94E-06,5.70E-06,-2.03E-05,3.94E-05,4.46E-05,3.66E-06
1926.057,-3.13E-05,-4.70E-06,3.07E-06,2.74E-05,-4.52E-05,-1.27E-05,-1.94E-06,-4.02E-06,3.44E-05,3.37E-05,2.30E-05,2.78E-05,-1.76E-06,5.81E-05,6.13E-05,1.92E-05
1926.539,-3.08E-05,-7.79E-06,-1.89E-06,1.79E-05,-4.51E-05,-1.56E-05,-1.44E-06,-5.71E-06,4.05E-05,3.59E-05,2.92E-05,3.60E-05,6.67E-06,6.84E-05,6.81E-05,2.36E-05
1927.021,-3.11E-05,-1.09E-05,-6.94E-06,5.87E-06,-4.97E-05,-2.51E-05,-8.99E-06,-2.02E-05,3.16E-05,2.54E-05,2.16E-05,2.69E-05,1.70E-06,6.68E-05,6.19E-05,1.34E-05
1927.503,-3.18E-05,-1.35E-05,-1.15E-05,-6.99E-06,-5.78E-05,-3.75E-05,-2.05E-05,-4.17E-05,1.30E-05,8.15E-06,5.70E-06,6.49E-06,-1.14E-05,5.79E-05,4.82E-05,-5.06E-06
1927.985,-3.18E-05,-1.54E-05,-1.50E-05,-1.84E-05,-6.59E-05,-4.64E-05,-2.85E-05,-6.02E-05,-5.36E-06,-5.37E-06,-7.83E-06,-1.36E-05,-2.18E-05,5.15E-05,3.82E-05,-2.05E-05
1928.467,-3.07E-05,-1.62E-05,-1.72E-05,-2.67E-05,-7.15E-05,-4.74E-05,-2.73E-05,-6.73E-05,-1.49E-05,-7.15E-06,-1.04E-05,-2.34E-05,-2.10E-05,5.58E-05,4.05E-05,-2.34E-05
1928.949,-2.82E-05,-1.61E-05,-1.80E-05,-3.10E-05,-7.31E-05,-4.01E-05,-1.56E-05,-6.05E-05,-1.25E-05,4.89E-06,6.51E-07,-1.94E-05,-6.79E-06,7.21E-05,5.74E-05,-1.11E-05
1929.431,-2.44E-05,-1.54E-05,-1.73E-05,-3.21E-05,-7.25E-05,-2.89E-05,1.28E-06,-4.48E-05,-2.48E-06,2.41E-05,1.95E-05,-7.43E-06,1.41E-05,9.35E-05,8.17E-05,9.35E-06
1929.914,-1.97E-05,-1.45E-05,-1.55E-05,-3.10E-05,-7.24E-05,-2.03E-05,1.52E-05,-2.96E-05,6.24E-06,4.02E-05,3.64E-05,2.60E-06,3.07E-05,1.09E-04,1.02E-04,2.69E-05
1930.396,-1.48E-05,-1.45E-05,-1.33E-05,-2.93E-05,-7.54E-05,-1.98E-05,1.85E-05,-2.36E-05,5.68E-06,4.37E-05,4.19E-05,7.65E-07,3.30E-05,1.09E-04,1.07E-04,3.11E-05
