Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1911.111,1.01E-04,7.91E-05,9.52E-05,-2.30E-05,-9.40E-05,-1.76E-04,-1.37E-04,-1.72E-04,-1.47E-04,-8.54E-05,-1.47E-04,-1.40E-04,-1.23E-04,-1.02E-04,-6.41E-05,-7.10E-05
1911.593,9.78E-05,6.54E-05,8.17E-05,-4.09E-05,-1.14E-04,-2.05E-04,-1.70E-04,-2.06E-04,-1.81E-04,-1.18E-04,-1.84E-04,-1.72E-04,-1.60E-04,-1.38E-04,-9.89E-05,-1.06E-04
1912.075,9.41E-05,5.50E-05,7.09E-05,-5.42E-05,-1.30E-04,-2.31E-04,-2.02E-04,-2.39E-04,-2.17E-04,-1.54E-04,-2.25E-04,-2.07E-04,-1.99E-04,-1.79E-04,-1.35E-04,-1.46E-04
1912.557,8.95E-05,4.93E-05,6.42E-05,-6.16E-05,-1.40E-04,-2.50E-04,-2.27E-04,-2.61E-04,-2.46E-04,-1.84E-04,-2.60E-04,-2.36E-04,-2.29E-04,-2.14E-04,-1.63E-04,-1.81E-04
1913.04,8.46E-05,4.89E-05,6.25E-05,-6.27E-05,-1.41E-04,-2.57E-04,-2.38E-04,-2.68E-04,-2.61E-04,-2.01E-04,-2.79E-04,-2.50E-04,-2.40E-04,-2.33E-04,-1.75E-04,-2.01E-04
1913.521,8.06E-05,5.47E-05,6.59E-05,-5.75E-05,-1.34E-04,-2.52E-04,-2.35E-04,-2.56E-04,-2.58E-04,-2.00E-04,-2.78E-04,-2.45E-04,-2.28E-04,-2.29E-04,-1.67E-04,-2.01E-04
1914.004,7.94E-05,6.74E-05,7.49E-05,-4.65E-05,-1.18E-04,-2.37E-04,-2.19E-04,-2.30E-04,-2.40E-04,-1.84E-04,-2.58E-04,-2.21E-04,-1.97E-04,-2.04E-04,-1.41E-04,-1.82E-04
1914.486,8.34E-05,8.73E-05,9.04E-05,-2.95E-05,-9.54E-05,-2.15E-04,-1.97E-04,-1.95E-04,-2.12E-04,-1.56E-04,-2.22E-04,-1.84E-04,-1.53E-04,-1.63E-04,-1.02E-04,-1.46E-04
1914.968,9.41E-05,1.14E-04,1.13E-04,-6.58E-06,-6.68E-05,-1.88E-04,-1.71E-04,-1.56E-04,-1.79E-04,-1.23E-04,-1.76E-04,-1.40E-04,-1.03E-04,-1.12E-04,-5.62E-05,-9.82E-05
1915.45,1.12E-04,1.47E-04,1.41E-04,2.20E-05,-3.35E-05,-1.58E-04,-1.44E-04,-1.17E-04,-1.45E-04,-8.68E-05,-1.24E-04,-9.31E-05,-5.36E-05,-5.57E-05,-7.37E-06,-4.12E-05
1915.932,1.35E-04,1.83E-04,1.74E-04,5.44E-05,2.02E-06,-1.25E-04,-1.16E-04,-7.79E-05,-1.08E-04,-4.67E-05,-6.70E-05,-4.44E-05,-4.80E-06,4.14E-06,4.36E-05,2.28E-05
1916.414,1.60E-04,2.17E-04,2.05E-04,8.70E-05,3.57E-05,-9.08E-05,-8.74E-05,-4.02E-05,-6.82E-05,-3.08E-06,-8.57E-06,4.23E-06,4.23E-05,6.47E-05,9.50E-05,9.05E-05
1916.896,1.81E-04,2.43E-04,2.29E-04,1.14E-04,6.10E-05,-5.97E-05,-6.04E-05,-7.31E-06,-3.02E-05,4.03E-05,4.57E-05,4.77E-05,8.39E-05,1.20E-04,1.42E-04,1.53E-04
1917.378,1.95E-04,2.55E-04,2.40E-04,1.30E-04,7.08E-05,-3.82E-05,-4.03E-05,1.40E-05,-1.19E-06,7.52E-05,8.57E-05,7.71E-05,1.12E-04,1.59E-04,1.74E-04,1.99E-04
1917.861,1.97E-04,2.52E-04,2.34E-04,1.31E-04,5.95E-05,-3.35E-05,-3.48E-05,1.53E-05,8.70E-06,9.04E-05,9.98E-05,8.18E-05,1.16E-04,1.70E-04,1.79E-04,2.12E-04
1918.343,1.87E-04,2.33E-04,2.13E-04,1.15E-04,2.65E-05,-5.01E-05,-4.92E-05,-8.93E-06,-7.95E-06,7.68E-05,8.04E-05,5.45E-05,8.95E-05,1.46E-04,1.51E-04,1.86E-04
1918.825,1.68E-04,2.04E-04,1.80E-04,8.74E-05,-2.30E-05,-8.63E-05,-8.30E-05,-5.72E-05,-5.10E-05,3.37E-05,2.85E-05,-3.21E-06,3.26E-05,8.73E-05,9.03E-05,1.21E-04
1919.307,1.46E-04,1.72E-04,1.43E-04,5.40E-05,-7.84E-05,-1.34E-04,-1.29E-04,-1.19E-04,-1.11E-04,-2.98E-05,-4.33E-05,-7.88E-05,-4.25E-05,8.60E-06,1.06E-05,3.37E-05
1919.789,1.26E-04,1.46E-04,1.12E-04,2.35E-05,-1.27E-04,-1.81E-04,-1.75E-04,-1.80E-04,-1.70E-04,-9.63E-05,-1.15E-04,-1.52E-04,-1.16E-04,-6.93E-05,-6.63E-05,-5.15E-05
1920.271,1.13E-04,1.30E-04,9.14E-05,1.77E-06,-1.58E-04,-2.16E-04,-2.08E-04,-2.25E-04,-2.13E-04,-1.49E-04,-1.68E-04,-2.06E-04,-1.69E-04,-1.27E-04,-1.21E-04,-1.13E-04
1920.753,1.08E-04,1.26E-04,8.33E-05,-8.29E-06,-1.69E-04,-2.33E-04,-2.22E-04,-2.45E-04,-2.30E-04,-1.75E-04,-1.90E-04,-2.27E-04,-1.90E-04,-1.52E-04,-1.42E-04,-1.37E-04
1921.235,1.10E-04,1.33E-04,8.59E-05,-8.19E-06,-1.63E-04,-2.35E-04,-2.19E-04,-2.43E-04,-2.24E-04,-1.76E-04,-1.82E-04,-2.19E-04,-1.80E-04,-1.46E-04,-1.31E-04,-1.27E-04
