Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,,,,,,,,,,
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,
2260.164,-8.56E-05,-1.37E-04,-1.56E-05,-8.04E-05,-1.64E-05,-5.56E-05,-7.04E-05,-3.60E-05,-8.29E-05,-8.29E-05,-1.77E-05,-6.21E-05,-7.81E-05,-1.23E-04,-2.16E-05,-2.51E-05,,,,,,,,,,
2260.646,-8.99E-05,-1.31E-04,-1.02E-05,-7.84E-05,-2.49E-05,-4.86E-05,-7.24E-05,-4.52E-05,-7.53E-05,-7.53E-05,-1.47E-05,-5.56E-05,-8.03E-05,-1.22E-04,-3.16E-05,-2.94E-05,,,,,,,,,,
2261.128,-9.57E-05,-1.23E-04,-6.65E-06,-7.26E-05,-3.38E-05,-4.10E-05,-7.42E-05,-5.50E-05,-6.66E-05,-6.66E-05,-1.50E-05,-5.04E-05,-8.29E-05,-1.18E-04,-4.12E-05,-3.80E-05,,,,,,,,,,
2261.61,-1.02E-04,-1.15E-04,-6.23E-06,-6.35E-05,-4.18E-05,-3.38E-05,-7.63E-05,-6.38E-05,-5.75E-05,-5.75E-05,-1.86E-05,-4.71E-05,-8.60E-05,-1.14E-04,-4.84E-05,-5.01E-05,,,,,,,,,,
2262.092,-1.08E-04,-1.08E-04,-9.79E-06,-5.25E-05,-4.79E-05,-2.79E-05,-7.93E-05,-7.06E-05,-4.91E-05,-4.91E-05,-2.55E-05,-4.57E-05,-8.95E-05,-1.08E-04,-5.21E-05,-6.48E-05,,,,,,,,,,
2262.574,-1.14E-04,-1.03E-04,-1.82E-05,-4.17E-05,-5.15E-05,-2.40E-05,-8.46E-05,-7.59E-05,-4.34E-05,-4.34E-05,-3.54E-05,-4.67E-05,-9.32E-05,-1.04E-04,-5.27E-05,-8.09E-05,,,,,,,,,,
2263.056,-1.20E-04,-1.02E-04,-3.12E-05,-3.33E-05,-5.30E-05,-2.28E-05,-9.31E-05,-8.08E-05,-4.18E-05,-4.18E-05,-4.75E-05,-5.03E-05,-9.69E-05,-1.02E-04,-5.12E-05,-9.68E-05,,,,,,,,,,
2263.538,-1.27E-04,-1.05E-04,-4.79E-05,-2.88E-05,-5.31E-05,-2.42E-05,-1.05E-04,-8.66E-05,-4.49E-05,-4.49E-05,-6.13E-05,-5.68E-05,-1.01E-04,-1.02E-04,-4.94E-05,-1.11E-04,,,,,,,,,,
2264.021,-1.34E-04,-1.13E-04,-6.67E-05,-2.83E-05,-5.24E-05,-2.79E-05,-1.20E-04,-9.37E-05,-5.16E-05,-5.16E-05,-7.54E-05,-6.56E-05,-1.04E-04,-1.04E-04,-4.80E-05,-1.20E-04,,,,,,,,,,
2264.503,-1.42E-04,-1.24E-04,-8.53E-05,-3.14E-05,-5.20E-05,-3.30E-05,-1.35E-04,-1.02E-04,-5.99E-05,-5.99E-05,-8.84E-05,-7.61E-05,-1.08E-04,-1.07E-04,-4.82E-05,-1.25E-04,,,,,,,,,,
2264.985,-1.47E-04,-1.36E-04,-1.01E-04,-3.58E-05,-5.24E-05,-3.79E-05,-1.47E-04,-1.09E-04,-6.66E-05,-6.66E-05,-9.83E-05,-8.68E-05,-1.12E-04,-1.09E-04,-4.92E-05,-1.23E-04,,,,,,,,,,
2265.467,-1.48E-04,-1.47E-04,-1.13E-04,-3.96E-05,-5.38E-05,-4.11E-05,-1.55E-04,-1.13E-04,-6.93E-05,-6.93E-05,-1.03E-04,-9.66E-05,-1.15E-04,-1.08E-04,-5.08E-05,-1.15E-04,,,,,,,,,,
2265.949,-1.43E-04,-1.53E-04,-1.19E-04,-4.11E-05,-5.65E-05,-4.13E-05,-1.55E-04,-1.11E-04,-6.66E-05,-6.66E-05,-1.02E-04,-1.04E-04,-1.17E-04,-1.04E-04,-5.19E-05,-1.03E-04,,,,,,,,,,
2266.431,-1.33E-04,-1.54E-04,-1.18E-04,-3.92E-05,-6.06E-05,-3.74E-05,-1.47E-04,-1.04E-04,-5.88E-05,-5.88E-05,-9.41E-05,-1.08E-04,-1.17E-04,-9.58E-05,-5.19E-05,-8.79E-05,,,,,,,,,,
2266.913,-1.18E-04,-1.47E-04,-1.12E-04,-3.41E-05,-6.56E-05,-2.96E-05,-1.32E-04,-8.98E-05,-4.77E-05,-4.77E-05,-8.00E-05,-1.07E-04,-1.13E-04,-8.58E-05,-5.00E-05,-7.23E-05,,,,,,,,,,
2267.395,-1.01E-04,-1.35E-04,-9.94E-05,-2.67E-05,-7.11E-05,-1.88E-05,-1.13E-04,-7.18E-05,-3.65E-05,-3.65E-05,-6.18E-05,-1.01E-04,-1.05E-04,-7.46E-05,-4.54E-05,-5.78E-05,,,,,,,,,,
2267.877,-8.30E-05,-1.17E-04,-8.27E-05,-1.89E-05,-7.61E-05,-6.56E-06,-9.15E-05,-5.18E-05,-2.82E-05,-2.82E-05,-4.16E-05,-9.02E-05,-9.20E-05,-6.40E-05,-3.83E-05,-4.58E-05,,,,,,,,,,
2268.36,-6.74E-05,-9.57E-05,-6.27E-05,-1.19E-05,-7.96E-05,5.26E-06,-7.04E-05,-3.31E-05,-2.51E-05,-2.51E-05,-2.23E-05,-7.39E-05,-7.55E-05,-5.50E-05,-2.87E-05,-3.66E-05,,,,,,,,,,
2268.842,-5.52E-05,-7.32E-05,-4.12E-05,-7.06E-06,-8.00E-05,1.54E-05,-5.17E-05,-1.76E-05,-2.83E-05,-2.83E-05,-5.50E-06,-5.36E-05,-5.73E-05,-4.81E-05,-1.74E-05,-2.99E-05,,,,,,,,,,
