Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2261.61,2.34E-05,6.40E-06,2.78E-05,3.34E-05,-1.67E-05,5.62E-05,1.49E-05,3.71E-06,-8.24E-07,1.36E-05,-3.33E-07,8.58E-06,-5.05E-06,1.42E-06,2.07E-05,-2.44E-05
2262.092,2.48E-05,1.98E-06,2.48E-05,3.12E-05,-2.04E-05,5.05E-05,1.20E-05,5.60E-06,1.78E-06,1.69E-05,1.26E-06,1.48E-05,-3.98E-06,4.75E-06,1.74E-05,-2.85E-05
2262.574,2.63E-05,-1.41E-06,2.08E-05,2.63E-05,-2.89E-05,3.18E-05,-6.59E-06,-1.09E-05,-1.65E-05,-2.45E-06,-1.90E-05,3.87E-07,-2.36E-05,-1.78E-05,-1.06E-05,-5.33E-05
2263.056,2.80E-05,-3.17E-06,1.75E-05,2.01E-05,-3.80E-05,7.13E-06,-3.32E-05,-3.67E-05,-4.62E-05,-3.45E-05,-5.07E-05,-2.49E-05,-5.35E-05,-5.51E-05,-5.15E-05,-8.77E-05
2263.538,2.95E-05,-3.18E-06,1.65E-05,1.54E-05,-4.15E-05,-1.22E-05,-5.49E-05,-5.71E-05,-7.11E-05,-6.19E-05,-7.66E-05,-4.39E-05,-7.56E-05,-8.80E-05,-8.58E-05,-1.13E-04
2264.021,3.10E-05,-1.33E-06,1.92E-05,1.47E-05,-3.54E-05,-1.69E-05,-6.07E-05,-5.97E-05,-7.77E-05,-6.94E-05,-8.18E-05,-4.24E-05,-7.52E-05,-9.94E-05,-9.69E-05,-1.15E-04
2264.503,3.21E-05,1.98E-06,2.60E-05,1.79E-05,-2.02E-05,-5.05E-06,-4.82E-05,-4.20E-05,-6.27E-05,-5.28E-05,-6.28E-05,-1.79E-05,-4.94E-05,-8.47E-05,-8.06E-05,-8.94E-05
2264.985,3.24E-05,6.51E-06,3.62E-05,2.38E-05,-1.03E-06,1.71E-05,-2.47E-05,-1.26E-05,-3.49E-05,-2.07E-05,-2.92E-05,1.87E-05,-9.35E-06,-5.38E-05,-4.73E-05,-4.85E-05
2265.467,3.14E-05,1.11E-05,4.83E-05,2.92E-05,1.46E-05,3.85E-05,-3.56E-06,1.33E-05,-1.04E-05,9.84E-06,1.25E-06,4.86E-05,2.58E-05,-2.50E-05,-1.62E-05,-1.21E-05
2265.949,2.86E-05,1.46E-05,5.97E-05,3.18E-05,2.07E-05,4.89E-05,3.49E-06,2.22E-05,-3.52E-06,2.35E-05,1.30E-05,5.59E-05,3.92E-05,-1.54E-05,-4.63E-06,2.34E-06
2266.431,2.36E-05,1.58E-05,6.81E-05,3.11E-05,1.61E-05,4.48E-05,-6.85E-06,1.07E-05,-1.80E-05,1.55E-05,1.30E-06,3.68E-05,2.60E-05,-3.00E-05,-1.76E-05,-1.04E-05
2266.913,1.65E-05,1.36E-05,7.18E-05,2.84E-05,4.75E-06,3.05E-05,-2.83E-05,-1.36E-05,-4.52E-05,-6.58E-06,-2.52E-05,1.10E-06,-4.12E-06,-6.00E-05,-4.63E-05,-4.06E-05
2267.395,8.01E-06,8.04E-06,7.03E-05,2.63E-05,-6.51E-06,1.53E-05,-4.89E-05,-3.65E-05,-6.98E-05,-2.75E-05,-5.03E-05,-3.30E-05,-3.36E-05,-8.77E-05,-7.29E-05,-7.01E-05
2267.877,-8.53E-07,-5.92E-07,6.40E-05,2.70E-05,-1.18E-05,7.01E-06,-5.87E-05,-4.61E-05,-7.92E-05,-3.44E-05,-6.02E-05,-5.03E-05,-4.74E-05,-9.82E-05,-8.27E-05,-8.32E-05
